PuzzleType,TimeToSolve,isFun
Word,29.47,No
Word,48.43,Yes
Word,47.46,Yes
Word,47.42,Yes
Word,41.62,Yes
Word,45.52,No
Word,48.70,Yes
Word,46.96,Yes
Word,48.22,Yes
Word,42.16,Yes
Word,41.19,No
Word,27.42,Yes
Word,48.47,No
Word,41.73,No
Word,42.28,No
Word,48.64,Yes
Word,47.27,Yes
Word,49.01,Yes
Word,48.90,Yes
Word,49.17,Yes
Word,43.01,No
Word,49.13,Yes
Word,47.03,No
Word,40.22,Yes
Word,45.65,Yes
Word,39.93,No
Word,45.39,Yes
Word,43.16,Yes
Word,42.13,No
Word,47.71,No
Word,33.51,No
Word,26.03,No
Word,46.84,Yes
Word,46.21,No
Word,49.08,No
Word,45.96,Yes
Word,42.06,Yes
Word,30.55,Yes
Word,42.36,No
Word,44.54,Yes
Word,48.00,Yes
Word,46.16,Yes
Word,45.13,Yes
Word,44.67,No
Word,37.82,Yes
Word,45.44,Yes
Word,41.08,Yes
Word,48.14,Yes
Word,45.68,Yes
Word,48.89,No
Word,47.76,Yes
Word,46.32,Yes
Word,34.59,Yes
Word,43.89,No
Word,47.89,Yes
Word,46.23,Yes
Word,47.29,No
Word,46.43,Yes
Word,49.03,Yes
Word,49.23,No
Word,42.69,Yes
Word,45.12,No
Word,45.59,No
Word,35.81,No
Word,35.59,No
Word,48.61,Yes
Word,38.62,Yes
Word,26.76,Yes
Word,49.01,Yes
Word,34.51,No
Word,44.32,Yes
Word,41.02,No
Word,48.22,Yes
Word,45.59,Yes
Word,37.25,No
Word,43.24,No
Word,46.69,Yes
Word,45.29,Yes
Word,46.98,Yes
Word,49.00,No
Word,38.75,Yes
Word,44.94,Yes
Word,47.65,No
Word,48.79,Yes
Word,40.22,No
Word,44.30,Yes
Word,48.27,Yes
Word,39.03,Yes
Word,33.54,Yes
Word,43.63,Yes
Word,44.86,No
Word,25.58,Yes
Word,47.87,Yes
Word,48.71,Yes
Word,42.07,No
Word,38.03,No
Word,42.94,Yes
Word,47.35,Yes
Word,46.51,No
Word,45.09,Yes
Word,48.82,Yes
Word,46.74,Yes
Word,46.72,Yes
Word,25.70,Yes
Word,41.10,Yes
Word,46.57,No
Word,38.68,Yes
Word,43.53,No
Word,45.61,Yes
Word,49.26,Yes
Word,39.83,No
Word,29.15,Yes
Word,48.10,No
Word,43.40,Yes
Word,48.93,Yes
Word,45.72,Yes
Word,36.17,Yes
Word,46.93,Yes
Word,48.23,Yes
Word,39.30,No
Word,35.91,Yes
Word,48.58,No
Word,44.95,No
Word,37.17,Yes
Word,49.10,Yes
Word,38.94,Yes
Word,48.43,No
Word,40.03,No
Word,39.95,Yes
Word,41.21,No
Word,47.07,No
Word,47.42,Yes
Word,46.46,Yes
Word,45.58,No
Word,40.80,Yes
Word,45.09,Yes
Word,43.15,No
Word,41.33,Yes
Word,47.64,Yes
Word,45.56,Yes
Word,44.90,Yes
Word,45.43,Yes
Word,22.39,Yes
Word,37.18,Yes
Word,27.26,No
Word,44.31,Yes
Word,47.01,Yes
Word,38.91,Yes
Word,41.32,Yes
Word,32.83,Yes
Word,44.37,Yes
Word,42.43,No
Word,44.89,Yes
Word,44.60,Yes
Word,29.61,No
Word,44.80,No
Word,47.28,Yes
Word,47.25,Yes
Word,29.14,Yes
Word,46.92,Yes
Word,42.39,Yes
Word,48.69,Yes
Word,44.03,Yes
Word,40.90,Yes
Word,48.19,Yes
Word,48.53,Yes
Word,47.00,No
Word,43.64,Yes
Word,48.00,Yes
Word,48.95,No
Word,31.22,Yes
Word,19.85,Yes
Word,46.00,Yes
Word,42.34,Yes
Word,48.40,Yes
Word,46.82,Yes
Word,47.38,Yes
Word,44.16,No
Word,33.45,Yes
Word,46.72,Yes
Word,35.70,No
Word,49.23,Yes
Word,40.71,No
Word,43.28,No
Word,46.55,Yes
Word,47.45,No
Word,48.95,Yes
Word,49.09,Yes
Word,47.50,Yes
Word,43.98,Yes
Word,39.40,Yes
Word,34.68,Yes
Word,40.20,Yes
Word,38.80,No
Word,46.12,Yes
Word,48.94,Yes
Word,49.21,Yes
Word,46.95,No
Word,48.82,No
Word,48.65,No
Word,46.32,Yes
Word,48.03,Yes
Word,44.88,No
Word,38.60,Yes
Word,47.23,Yes
Word,48.71,Yes
Word,45.53,No
Word,46.16,Yes
Word,26.77,Yes
Word,41.97,Yes
Word,28.86,Yes
Word,45.69,Yes
Word,47.01,Yes
Word,48.26,Yes
Word,47.25,Yes
Word,49.13,Yes
Word,46.11,No
Word,48.97,Yes
Word,15.78,No
Word,47.06,Yes
Word,41.89,No
Word,43.44,Yes
Word,45.57,No
Word,30.58,Yes
Word,42.38,No
Word,46.42,Yes
Word,42.75,No
Word,48.61,Yes
Word,40.36,Yes
Word,45.85,No
Word,48.42,Yes
Word,48.11,Yes
Word,48.61,Yes
Word,49.17,Yes
Word,47.65,Yes
Word,33.87,Yes
Word,39.18,Yes
Word,41.38,Yes
Word,42.90,No
Word,41.14,Yes
Word,43.81,No
Word,48.54,Yes
Word,39.47,Yes
Word,49.08,Yes
Word,49.01,Yes
Word,41.27,Yes
Word,43.24,No
Word,47.79,No
Word,40.23,No
Word,46.99,No
Word,34.80,No
Word,45.88,Yes
Word,29.79,Yes
Word,45.43,No
Word,44.64,Yes
Word,44.32,Yes
Word,47.55,Yes
Word,49.24,Yes
Word,41.05,No
Word,42.15,Yes
Word,47.74,Yes
Word,48.69,No
Word,39.59,No
Word,37.77,Yes
Word,44.74,Yes
Word,48.40,Yes
Word,41.50,Yes
Word,48.48,Yes
Word,45.31,Yes
Word,47.56,No
Word,41.71,No
Word,46.75,Yes
Word,35.65,Yes
Word,39.26,Yes
Word,47.28,Yes
Word,45.98,Yes
Word,44.02,No
Word,36.49,Yes
Word,43.69,No
Word,38.06,No
Word,49.18,Yes
Word,27.10,Yes
Word,45.98,Yes
Word,48.55,Yes
Word,47.57,Yes
Word,43.95,Yes
Word,45.75,Yes
Word,48.24,Yes
Word,41.63,No
Word,45.53,Yes
Word,43.46,No
Word,48.29,Yes
Word,43.99,No
Word,39.09,Yes
Word,40.69,Yes
Word,47.81,Yes
Word,48.69,Yes
Word,39.78,Yes
Word,48.55,Yes
Word,43.25,Yes
Word,46.63,No
Word,44.10,Yes
Word,35.51,Yes
Word,41.72,No
Word,20.25,Yes
Word,46.32,Yes
Word,45.35,Yes
Word,47.02,Yes
Word,44.47,No
Word,47.36,Yes
Word,39.75,No
Word,38.64,Yes
Word,43.76,Yes
Word,42.23,Yes
Word,35.33,Yes
Word,46.71,No
Word,48.65,Yes
Word,40.43,No
Word,46.93,Yes
Word,46.60,Yes
Word,47.72,No
Word,44.59,Yes
Word,26.99,Yes
Word,41.69,Yes
Word,38.70,No
Word,43.44,Yes
Word,41.18,Yes
Word,46.15,Yes
Word,44.58,No
Word,36.67,Yes
Word,44.78,Yes
Word,36.25,No
Word,46.18,Yes
Word,48.43,Yes
Word,45.66,Yes
Word,46.53,Yes
Word,37.85,No
Word,48.91,Yes
Word,48.08,No
Word,46.52,Yes
Word,35.85,Yes
Word,45.35,Yes
Word,43.86,No
Word,39.85,Yes
Word,48.44,Yes
Word,37.24,No
Word,37.69,No
Word,46.64,Yes
Word,43.58,Yes
Word,40.31,No
Word,30.27,Yes
Word,34.54,No
Word,45.43,No
Word,46.83,Yes
Word,48.45,No
Word,46.61,Yes
Word,46.24,No
Word,41.95,Yes
Word,44.19,Yes
Word,48.89,Yes
Word,44.88,Yes
Word,45.28,Yes
Word,41.38,No
Word,35.82,Yes
Word,48.36,Yes
Word,47.76,Yes
Word,47.73,No
Word,43.23,No
Word,40.28,Yes
Word,46.77,Yes
Word,47.72,No
Word,36.47,Yes
Word,48.39,Yes
Word,42.09,Yes
Word,36.99,No
Word,44.61,Yes
Word,35.83,Yes
Word,46.97,No
Word,44.22,Yes
Word,39.78,No
Word,47.59,Yes
Word,48.36,No
Word,46.63,Yes
Word,41.57,Yes
Word,33.77,No
Word,47.65,Yes
Word,14.38,Yes
Word,36.84,Yes
Word,47.12,Yes
Word,48.70,Yes
Word,41.81,No
Word,45.80,Yes
Word,46.95,Yes
Word,48.13,Yes
Word,34.92,Yes
Word,24.45,Yes
Word,37.58,Yes
Word,48.81,Yes
Word,41.86,Yes
Word,47.23,No
Word,46.65,Yes
Word,44.84,Yes
Word,45.84,Yes
Word,48.76,Yes
Word,41.11,Yes
Word,48.94,Yes
Word,41.93,Yes
Word,45.64,Yes
Word,37.45,Yes
Word,47.83,Yes
Word,33.10,No
Word,30.88,Yes
Word,44.17,No
Word,19.03,Yes
Word,44.45,Yes
Word,43.30,Yes
Word,48.20,Yes
Word,40.77,No
Word,43.64,No
Word,35.25,Yes
Word,43.39,No
Word,47.77,Yes
Word,43.95,No
Word,48.42,Yes
Word,30.54,Yes
Word,37.79,Yes
Word,46.54,No
Word,45.35,Yes
Word,49.14,Yes
Word,48.45,Yes
Word,10.73,No
Word,40.05,Yes
Word,48.92,Yes
Word,48.23,No
Word,32.53,Yes
Word,39.92,Yes
Word,46.83,Yes
Word,36.50,Yes
Word,47.80,Yes
Word,48.90,Yes
Word,24.48,No
Word,46.56,No
Word,42.75,Yes
Word,48.61,Yes
Word,46.41,Yes
Word,47.79,No
Word,43.64,Yes
Word,41.69,Yes
Word,37.25,Yes
Word,46.74,Yes
Word,48.52,Yes
Word,44.49,Yes
Word,46.44,Yes
Word,48.67,Yes
Word,42.80,Yes
Word,49.09,Yes
Word,45.48,Yes
Word,48.95,Yes
Word,37.20,Yes
Word,48.00,Yes
Word,46.02,Yes
Word,46.46,Yes
Word,45.20,Yes
Word,48.44,Yes
Word,24.38,No
Word,42.85,Yes
Word,48.60,Yes
Word,35.74,Yes
Word,40.40,Yes
Word,47.05,No
Word,33.23,No
Logic,26.58,No
Logic,31.30,No
Logic,33.86,No
Logic,29.63,No
Logic,34.60,No
Logic,33.74,Yes
Logic,37.14,Yes
Logic,21.95,No
Logic,34.30,Yes
Logic,31.93,No
Logic,36.31,No
Logic,30.90,Yes
Logic,33.81,Yes
Logic,37.53,No
Logic,32.31,Yes
Logic,36.77,No
Logic,36.38,No
Logic,33.21,No
Logic,34.94,No
Logic,33.89,Yes
Logic,37.29,Yes
Logic,32.71,Yes
Logic,32.91,Yes
Logic,35.97,No
Logic,36.56,No
Logic,37.27,No
Logic,36.60,Yes
Logic,15.34,No
Logic,9.67,Yes
Logic,29.76,Yes
Logic,15.37,Yes
Logic,23.62,Yes
Logic,33.11,No
Logic,29.44,No
Logic,33.96,No
Logic,32.97,Yes
Logic,28.53,No
Logic,36.73,No
Logic,29.00,No
Logic,27.67,No
Logic,31.89,No
Logic,27.45,Yes
Logic,30.43,Yes
Logic,36.42,Yes
Logic,35.63,No
Logic,34.11,Yes
Logic,31.13,No
Logic,37.60,No
Logic,32.50,No
Logic,25.06,No
Logic,36.95,No
Logic,37.44,Yes
Logic,36.23,No
Logic,31.33,No
Logic,33.65,No
Logic,29.81,No
Logic,32.93,No
Logic,37.34,No
Logic,35.22,No
Logic,37.05,No
Logic,27.49,Yes
Logic,35.14,Yes
Logic,36.68,Yes
Logic,32.48,No
Logic,34.67,Yes
Logic,31.96,No
Logic,36.08,Yes
Logic,37.29,Yes
Logic,30.33,No
Logic,32.71,Yes
Logic,34.39,No
Logic,34.36,No
Logic,30.84,No
Logic,30.96,No
Logic,36.07,Yes
Logic,35.70,No
Logic,29.00,No
Logic,36.43,Yes
Logic,20.53,Yes
Logic,33.62,Yes
Logic,37.66,Yes
Logic,33.41,No
Logic,36.58,Yes
Logic,35.07,Yes
Logic,35.32,No
Logic,24.04,Yes
Logic,27.28,Yes
Logic,23.38,No
Logic,34.25,Yes
Logic,27.19,No
Logic,14.97,No
Logic,37.14,No
Logic,32.09,No
Logic,25.96,Yes
Logic,35.11,No
Logic,30.65,No
Logic,32.06,Yes
Logic,37.24,Yes
Logic,34.22,Yes
Logic,37.48,No
Logic,36.76,Yes
Logic,34.03,No
Logic,14.75,Yes
Logic,34.75,Yes
Logic,32.43,Yes
Logic,34.24,Yes
Logic,36.90,Yes
Logic,35.93,Yes
Logic,27.92,Yes
Logic,36.74,No
Logic,32.23,No
Logic,30.64,No
Logic,28.44,No
Logic,16.79,Yes
Logic,30.99,No
Logic,30.06,No
Logic,27.12,Yes
Logic,35.41,Yes
Logic,13.14,No
Logic,35.12,No
Logic,14.62,Yes
Logic,36.09,No
Logic,27.40,No
Logic,36.10,No
Logic,33.86,Yes
Logic,31.13,No
Logic,28.23,No
Logic,19.53,No
Logic,34.66,Yes
Logic,32.07,Yes
Logic,37.09,Yes
Logic,35.73,No
Logic,33.25,No
Logic,18.62,No
Logic,31.53,Yes
Logic,37.33,No
Logic,30.77,No
Logic,32.35,No
Logic,35.66,Yes
Logic,33.09,Yes
Logic,30.77,No
Logic,36.48,Yes
Logic,29.41,No
Logic,25.87,Yes
Logic,37.56,Yes
Logic,34.51,Yes
Logic,31.47,No
Logic,15.27,No
Logic,34.96,No
Logic,17.63,No
Logic,33.54,No
Logic,34.23,No
Logic,36.27,Yes
Logic,36.23,Yes
Logic,30.76,Yes
Logic,32.53,No
Logic,35.41,No
Logic,32.14,Yes
Logic,25.07,Yes
Logic,36.66,No
Logic,27.70,No
Logic,35.01,No
Logic,32.89,No
Logic,36.14,No
Logic,26.06,No
Logic,37.18,No
Logic,31.73,Yes
Logic,30.10,Yes
Logic,30.70,No
Logic,36.47,No
Logic,31.76,No
Logic,33.83,Yes
Logic,15.70,Yes
Logic,20.63,No
Logic,36.96,No
Logic,36.47,Yes
Logic,35.75,No
Logic,30.05,No
Logic,35.97,Yes
Logic,36.99,No
Logic,33.69,No
Logic,25.81,Yes
Logic,34.05,Yes
Logic,34.69,Yes
Logic,35.89,No
Logic,34.53,No
Logic,37.29,Yes
Logic,33.26,Yes
Logic,35.22,Yes
Logic,31.52,No
Logic,30.94,Yes
Logic,22.29,Yes
Logic,37.43,No
Logic,25.95,No
Logic,37.53,Yes
Logic,36.11,No
Logic,34.53,Yes
Logic,30.55,No
Logic,36.18,No
Logic,33.05,No
Logic,36.44,No
Logic,37.02,No
Logic,20.89,Yes
Logic,34.97,Yes
Logic,26.46,No
Logic,35.95,No
Logic,37.42,Yes
Logic,36.20,Yes
Logic,36.38,Yes
Logic,33.09,Yes
Logic,27.99,Yes
Logic,32.12,No
Logic,32.24,No
Logic,21.70,Yes
Logic,37.39,Yes
Logic,36.60,No
Logic,35.01,Yes
Logic,37.35,No
Logic,33.64,No
Logic,34.46,Yes
Logic,35.81,Yes
Logic,27.28,Yes
Logic,35.33,No
Logic,24.25,No
Logic,30.63,No
Logic,35.29,No
Logic,23.96,No
Logic,33.35,No
Logic,26.13,No
Logic,25.37,Yes
Logic,36.29,Yes
Logic,37.03,No
Logic,37.53,No
Logic,37.25,No
Logic,31.05,No
Logic,37.05,Yes
Logic,32.45,No
Logic,24.49,Yes
Logic,34.59,Yes
Logic,27.04,No
Logic,35.96,No
Logic,33.10,Yes
Logic,33.74,No
Logic,36.53,No
Logic,34.27,No
Logic,37.18,Yes
Logic,37.65,Yes
Logic,8.25,Yes
Logic,34.18,No
Logic,34.56,No
Logic,36.26,Yes
Logic,34.11,No
Logic,34.51,No
Logic,36.32,Yes
Logic,36.14,No
Logic,31.25,No
Logic,17.71,Yes
Logic,28.26,No
Logic,32.23,No
Logic,31.75,No
Logic,35.40,No
Logic,35.23,No
Logic,28.96,No
Logic,36.56,Yes
Logic,33.36,Yes
Logic,33.01,No
Logic,35.98,No
Logic,33.24,No
Logic,35.33,Yes
Logic,36.42,Yes
Logic,29.73,No
Logic,25.57,Yes
Logic,36.26,No
Logic,33.86,Yes
Logic,29.91,No
Logic,33.97,Yes
Logic,31.39,No
Logic,32.05,No
Logic,36.08,Yes
Logic,35.72,No
Logic,28.71,No
Logic,33.86,Yes
Logic,27.69,No
Logic,19.12,Yes
Logic,35.45,No
Logic,37.47,Yes
Logic,33.50,No
Logic,36.60,No
Logic,34.42,No
Logic,35.59,Yes
Logic,32.08,No
Logic,33.84,Yes
Logic,37.22,No
Logic,37.53,No
Logic,35.22,Yes
Logic,34.70,No
Logic,35.76,Yes
Logic,26.39,Yes
Logic,17.40,Yes
Logic,32.43,No
Logic,36.37,Yes
Logic,32.27,Yes
Logic,33.80,No
Logic,34.95,Yes
Logic,32.85,Yes
Logic,35.91,Yes
Logic,25.45,No
Logic,36.81,No
Logic,36.79,Yes
Logic,36.39,Yes
Logic,36.85,No
Logic,35.56,No
Logic,23.83,Yes
Logic,36.82,No
Logic,30.28,No
Logic,35.78,Yes
Logic,33.14,No
Logic,34.18,Yes
Logic,29.15,No
Logic,30.22,No
Logic,29.50,No
Logic,36.34,Yes
Logic,29.27,No
Logic,31.45,No
Logic,29.87,No
Logic,30.74,No
Logic,32.24,Yes
Logic,36.55,No
Logic,37.21,Yes
Logic,36.70,No
Logic,37.03,Yes
Logic,30.72,Yes
Logic,34.10,No
Logic,24.54,Yes
Logic,33.33,No
Logic,28.62,No
Logic,35.57,No
Logic,36.65,No
Logic,35.16,Yes
Logic,36.14,Yes
Logic,36.41,No
Logic,18.69,No
Logic,36.95,No
Logic,36.71,No
Logic,36.25,Yes
Logic,36.33,Yes
Logic,24.49,No
Logic,24.90,No
Logic,35.61,No
Logic,34.04,No
Logic,29.12,No
Logic,34.55,Yes
Logic,31.95,No
Logic,31.03,Yes
Logic,37.46,Yes
Logic,25.19,No
Logic,37.25,No
Logic,36.00,Yes
Logic,22.24,Yes
Logic,21.28,No
Logic,19.59,No
Logic,28.46,No
Logic,32.79,No
Logic,34.87,Yes
Logic,37.43,No
Logic,33.00,No
Logic,17.99,No
Logic,35.82,No
Logic,25.84,Yes
Logic,33.97,No
Logic,29.59,No
Logic,35.95,Yes
Logic,33.95,No
Logic,33.69,No
Logic,29.56,No
Logic,34.77,Yes
Logic,29.02,No
Logic,32.43,No
Logic,37.03,Yes
Logic,28.71,No
Logic,37.17,No
Logic,31.00,No
Logic,31.44,Yes
Logic,32.70,Yes
Logic,20.10,No
Logic,36.83,No
Logic,35.89,No
Logic,34.54,No
Logic,36.04,No
Logic,29.17,Yes
Logic,32.28,No
Logic,36.95,No
Logic,33.32,Yes
Logic,35.74,No
Logic,29.47,No
Logic,30.21,Yes
Logic,32.90,Yes
Logic,33.23,Yes
Logic,28.66,Yes
Logic,23.96,No
Logic,36.52,Yes
Logic,30.52,Yes
Logic,33.31,Yes
Logic,28.98,No
Logic,37.51,Yes
Logic,33.64,No
Logic,8.88,No
Logic,29.02,Yes
Logic,36.58,No
Logic,36.47,No
Logic,36.94,Yes
Logic,32.15,No
Logic,5.50,Yes
Logic,37.24,Yes
Logic,36.82,No
Logic,30.20,No
Logic,35.15,Yes
Logic,36.85,Yes
Logic,36.81,No
Logic,36.68,No
Logic,29.65,No
Logic,36.43,Yes
Logic,34.83,No
Logic,33.19,Yes
Logic,34.78,No
Logic,34.56,No
Logic,26.75,No
Logic,19.19,No
Logic,33.49,No
Logic,37.05,No
Logic,29.92,No
Logic,35.88,Yes
Logic,34.54,No
Logic,34.76,No
Logic,35.77,No
Logic,23.88,Yes
Logic,33.97,No
Logic,28.07,No
Logic,13.06,No
Logic,32.24,No
Logic,33.42,Yes
Logic,34.09,Yes
Logic,37.18,Yes
Logic,36.51,No
Logic,30.55,Yes
Logic,35.84,No
Logic,34.72,No
Logic,37.43,Yes
Logic,30.68,Yes
Logic,37.48,No
Logic,35.50,No
Logic,35.16,Yes
Logic,24.46,Yes
Logic,30.62,No
Logic,37.08,No
Logic,32.73,Yes
Logic,23.41,No
Logic,17.42,No
Logic,36.08,No
Logic,25.79,Yes
Logic,36.24,No
Logic,31.58,No
Logic,31.26,Yes
Logic,35.27,Yes
Logic,28.04,Yes
Logic,26.59,Yes
Logic,34.92,No
Logic,33.17,No
Logic,26.30,Yes
Logic,33.02,No
Logic,15.48,No
Logic,35.34,No
Logic,33.92,Yes
Logic,36.64,Yes
Logic,29.95,No
Logic,36.01,No
Logic,37.04,No
Logic,29.47,No
Logic,28.96,No
Logic,35.73,Yes
Logic,36.99,Yes
Logic,30.76,No
Logic,37.50,No
Logic,35.43,Yes
Logic,27.59,Yes
Logic,31.55,Yes
Logic,19.14,No
Logic,28.83,No
Logic,23.00,No
Logic,33.19,No
Logic,30.83,No
Logic,36.19,Yes
Logic,35.39,No
Logic,32.18,No
Logic,37.05,Yes
Logic,31.24,Yes
Logic,32.71,Yes
Logic,32.97,No
Logic,30.51,No
Logic,37.19,No
Logic,36.67,No
Logic,37.50,Yes
Logic,28.81,No
Logic,33.15,No
Logic,34.14,Yes
Logic,19.05,No
Logic,32.20,Yes
Logic,33.90,Yes
Logic,20.84,Yes
Logic,34.46,No
Logic,37.64,Yes
Logic,33.75,Yes
Logic,33.87,No
Logic,34.96,No
Logic,33.55,Yes
Logic,34.96,Yes
Logic,35.78,No
Logic,27.97,No
Logic,35.80,Yes
Logic,34.69,No
Logic,35.62,No
Logic,36.66,No
