PuzzleType,TimeToSolve,ExperienceRating
Word,12.66,Fun
Word,14.19,Frustrating
Word,12.87,Fun
Word,11.35,Fun
Word,14.30,Neutral
Word,13.99,Neutral
Word,13.10,Neutral
Word,12.48,Neutral
Word,10.74,Fun
Word,14.72,Neutral
Word,10.80,Fun
Word,16.37,Frustrating
Word,15.07,Neutral
Word,11.53,Neutral
Word,9.95,Fun
Word,10.58,Neutral
Word,12.51,Neutral
Word,11.51,Neutral
Word,11.30,Neutral
Word,10.10,Neutral
Word,11.91,Neutral
Word,10.43,Frustrating
Word,8.66,Fun
Word,11.24,Neutral
Word,13.84,Neutral
Word,10.85,Fun
Word,13.22,Neutral
Word,8.76,Fun
Word,11.89,Neutral
Word,13.04,Neutral
Word,12.60,Fun
Word,12.21,Neutral
Word,10.72,Fun
Word,10.30,Neutral
Word,9.95,Neutral
Word,12.24,Frustrating
Word,10.11,Neutral
Word,11.02,Neutral
Word,11.49,Neutral
Word,15.69,Frustrating
Word,10.70,Fun
Word,12.47,Neutral
Word,12.16,Neutral
Word,10.08,Neutral
Word,11.86,Neutral
Word,14.89,Neutral
Word,12.90,Neutral
Word,12.08,Neutral
Word,11.16,Neutral
Word,7.89,Fun
Word,14.26,Frustrating
Word,9.08,Fun
Word,13.48,Neutral
Word,15.82,Neutral
Word,9.11,Fun
Word,13.40,Fun
Word,11.48,Neutral
Word,8.86,Fun
Word,8.97,Fun
Word,8.80,Fun
Word,10.94,Neutral
Word,9.08,Fun
Word,13.38,Neutral
Word,16.20,Neutral
Word,9.43,Neutral
Word,13.58,Frustrating
Word,13.54,Frustrating
Word,12.66,Neutral
Word,9.98,Fun
Word,11.76,Fun
Word,11.44,Fun
Word,13.13,Frustrating
Word,11.26,Neutral
Word,13.95,Fun
Word,11.25,Fun
Word,14.11,Fun
Word,9.90,Fun
Word,9.48,Frustrating
Word,18.48,Neutral
Word,11.17,Fun
Word,12.60,Neutral
Word,13.27,Neutral
Word,11.03,Neutral
Word,13.03,Neutral
Word,12.74,Neutral
Word,11.57,Neutral
Word,12.13,Neutral
Word,11.93,Neutral
Word,16.26,Neutral
Word,10.52,Fun
Word,9.81,Fun
Word,12.08,Fun
Word,12.62,Frustrating
Word,12.87,Neutral
Word,11.08,Neutral
Word,9.87,Fun
Word,14.53,Neutral
Word,11.30,Neutral
Word,10.27,Neutral
Word,11.53,Fun
Word,11.61,Neutral
Word,14.22,Frustrating
Word,12.17,Fun
Word,13.51,Fun
Word,11.00,Neutral
Word,12.43,Fun
Word,11.35,Neutral
Word,12.19,Neutral
Word,10.21,Neutral
Word,9.38,Fun
Word,15.99,Neutral
Word,13.20,Neutral
Word,9.50,Fun
Word,10.78,Fun
Word,9.63,Fun
Word,16.40,Neutral
Word,14.62,Neutral
Word,11.47,Neutral
Word,13.09,Neutral
Word,11.17,Neutral
Word,11.05,Fun
Word,10.42,Fun
Word,10.81,Neutral
Word,15.30,Frustrating
Word,11.89,Neutral
Word,12.24,Neutral
Word,12.49,Fun
Word,14.46,Neutral
Word,10.97,Neutral
Word,10.01,Fun
Word,15.35,Frustrating
Word,11.12,Fun
Word,10.55,Neutral
Word,9.53,Fun
Word,9.43,Fun
Word,10.85,Fun
Word,13.24,Neutral
Word,14.22,Frustrating
Word,13.42,Neutral
Word,11.27,Neutral
Word,12.12,Neutral
Word,10.59,Fun
Word,10.57,Fun
Word,13.77,Neutral
Word,9.97,Neutral
Word,15.91,Neutral
Word,11.82,Neutral
Word,12.43,Neutral
Word,10.52,Neutral
Word,10.85,Fun
Word,9.37,Fun
Word,11.63,Fun
Word,12.84,Neutral
Word,12.65,Fun
Word,10.44,Neutral
Word,10.42,Fun
Word,11.00,Fun
Word,14.99,Neutral
Word,9.73,Fun
Word,11.64,Fun
Word,15.80,Neutral
Word,11.80,Neutral
Word,9.28,Fun
Word,10.67,Fun
Word,12.97,Neutral
Word,11.25,Neutral
Word,10.88,Neutral
Word,11.31,Neutral
Word,12.18,Fun
Word,15.20,Frustrating
Word,11.82,Fun
Word,14.16,Frustrating
Word,13.26,Fun
Word,11.77,Fun
Word,8.93,Fun
Word,10.96,Neutral
Word,11.02,Fun
Word,12.09,Neutral
Word,14.60,Neutral
Word,16.59,Frustrating
Word,15.10,Neutral
Word,11.73,Neutral
Word,8.49,Fun
Word,11.22,Fun
Word,12.18,Frustrating
Word,13.69,Neutral
Word,13.93,Neutral
Word,13.37,Neutral
Word,9.21,Fun
Word,13.70,Neutral
Word,11.11,Fun
Word,12.35,Fun
Word,12.15,Fun
Word,12.86,Neutral
Word,12.05,Fun
Word,8.67,Fun
Word,13.47,Fun
Word,12.77,Neutral
Word,11.47,Neutral
Word,12.24,Neutral
Word,12.27,Neutral
Word,12.44,Neutral
Word,15.28,Neutral
Word,11.56,Fun
Word,12.34,Neutral
Word,14.34,Fun
Word,14.11,Neutral
Word,14.29,Neutral
Word,10.85,Fun
Word,16.00,Frustrating
Word,12.13,Neutral
Word,15.73,Neutral
Word,9.30,Fun
Word,12.04,Fun
Word,14.50,Neutral
Word,10.57,Fun
Word,10.49,Neutral
Word,10.12,Neutral
Word,9.89,Neutral
Word,11.13,Fun
Word,12.66,Neutral
Word,7.97,Fun
Word,12.42,Fun
Word,14.47,Neutral
Word,16.08,Neutral
Word,14.60,Neutral
Word,13.51,Neutral
Word,8.55,Fun
Word,10.80,Neutral
Word,11.30,Fun
Word,13.41,Neutral
Word,11.79,Neutral
Word,9.48,Fun
Word,15.37,Neutral
Word,13.82,Frustrating
Word,12.47,Neutral
Word,14.44,Neutral
Word,9.32,Neutral
Word,13.32,Neutral
Word,10.95,Neutral
Word,13.37,Neutral
Word,11.88,Fun
Word,13.27,Frustrating
Word,14.67,Neutral
Word,12.01,Neutral
Word,14.04,Neutral
Word,9.62,Fun
Word,10.56,Fun
Word,15.04,Neutral
Word,12.75,Fun
Word,7.90,Fun
Word,9.27,Neutral
Word,11.60,Neutral
Word,13.73,Neutral
Word,11.80,Neutral
Word,13.25,Neutral
Word,13.92,Neutral
Word,15.34,Neutral
Word,12.11,Neutral
Word,11.90,Neutral
Word,8.49,Fun
Word,12.20,Neutral
Word,10.86,Neutral
Word,10.05,Neutral
Word,11.64,Neutral
Word,14.03,Fun
Word,8.01,Fun
Word,11.15,Neutral
Word,12.23,Fun
Word,10.21,Fun
Word,12.67,Neutral
Word,12.82,Neutral
Word,11.93,Fun
Word,7.07,Fun
Word,17.14,Frustrating
Word,11.59,Neutral
Word,13.30,Neutral
Word,12.55,Neutral
Word,14.05,Neutral
Word,13.64,Frustrating
Word,11.58,Fun
Word,12.76,Neutral
Word,10.11,Neutral
Word,13.71,Neutral
Word,11.08,Neutral
Word,16.83,Neutral
Word,8.70,Fun
Word,11.07,Neutral
Word,13.65,Neutral
Word,13.02,Neutral
Word,10.82,Neutral
Word,10.01,Fun
Word,12.29,Fun
Word,11.97,Fun
Word,8.42,Fun
Word,12.07,Fun
Word,12.38,Neutral
Word,12.35,Frustrating
Word,9.89,Frustrating
Word,12.95,Neutral
Word,14.76,Neutral
Word,12.91,Neutral
Word,9.73,Fun
Word,11.13,Neutral
Word,12.69,Neutral
Word,10.71,Fun
Word,7.68,Fun
Word,13.77,Neutral
Word,10.34,Fun
Word,10.85,Neutral
Word,15.01,Neutral
Word,10.45,Fun
Word,13.69,Neutral
Word,9.48,Fun
Word,11.29,Neutral
Word,11.85,Neutral
Word,9.66,Fun
Word,10.73,Neutral
Word,11.94,Fun
Word,13.34,Neutral
Word,8.70,Neutral
Word,11.30,Neutral
Word,13.51,Neutral
Word,10.92,Neutral
Word,12.45,Neutral
Word,12.98,Neutral
Word,12.54,Fun
Word,13.31,Neutral
Word,11.75,Fun
Word,11.17,Fun
Word,6.71,Fun
Word,11.81,Fun
Word,12.86,Neutral
Word,13.07,Neutral
Word,10.89,Fun
Word,15.56,Neutral
Word,12.57,Neutral
Word,12.25,Neutral
Word,14.54,Neutral
Word,10.56,Fun
Word,11.10,Fun
Word,16.79,Neutral
Word,12.02,Neutral
Word,15.27,Neutral
Word,9.12,Fun
Word,11.62,Fun
Word,12.76,Neutral
Word,12.60,Neutral
Word,9.99,Neutral
Word,12.04,Neutral
Word,9.85,Fun
Word,13.43,Neutral
Word,14.17,Neutral
Word,7.55,Fun
Word,14.47,Neutral
Word,9.52,Fun
Word,12.91,Fun
Word,13.32,Neutral
Word,11.60,Neutral
Word,10.71,Neutral
Word,12.33,Fun
Word,12.88,Neutral
Word,13.77,Frustrating
Word,7.90,Fun
Word,8.73,Fun
Word,14.86,Neutral
Word,14.09,Neutral
Word,12.87,Fun
Word,13.43,Neutral
Word,13.83,Neutral
Word,6.68,Fun
Word,14.22,Neutral
Word,11.03,Fun
Word,12.46,Fun
Word,11.41,Fun
Word,13.74,Neutral
Word,11.30,Fun
Word,13.04,Neutral
Word,11.22,Fun
Word,9.81,Fun
Word,14.42,Neutral
Word,13.48,Neutral
Word,15.45,Frustrating
Word,12.13,Neutral
Word,14.25,Neutral
Word,15.95,Neutral
Word,11.44,Fun
Word,9.35,Fun
Word,11.52,Neutral
Word,11.57,Fun
Word,12.30,Neutral
Word,15.42,Neutral
Word,11.35,Fun
Word,12.75,Fun
Word,11.54,Neutral
Word,12.04,Neutral
Word,12.63,Neutral
Word,14.66,Neutral
Word,12.24,Neutral
Word,13.43,Neutral
Word,13.56,Fun
Word,13.83,Neutral
Word,10.85,Fun
Word,15.25,Neutral
Word,11.24,Neutral
Word,11.79,Fun
Word,14.81,Fun
Word,14.59,Frustrating
Word,9.82,Fun
Word,10.25,Fun
Word,9.28,Neutral
Word,12.36,Neutral
Word,12.33,Neutral
Word,12.73,Neutral
Word,13.10,Neutral
Word,10.80,Fun
Word,10.01,Fun
Word,14.05,Fun
Word,13.50,Fun
Word,8.98,Neutral
Word,11.81,Fun
Word,10.21,Fun
Word,7.86,Fun
Word,12.30,Fun
Word,11.84,Fun
Word,11.81,Fun
Word,12.43,Fun
Word,13.76,Neutral
Word,12.41,Fun
Word,10.77,Neutral
Word,10.53,Neutral
Word,11.74,Fun
Word,12.62,Neutral
Word,9.92,Fun
Word,11.63,Neutral
Word,13.93,Neutral
Word,11.78,Neutral
Word,10.60,Fun
Word,11.45,Fun
Word,14.23,Frustrating
Word,13.10,Fun
Word,14.47,Neutral
Word,12.28,Fun
Word,12.82,Neutral
Word,10.88,Fun
Word,13.21,Neutral
Word,10.99,Neutral
Word,9.16,Neutral
Word,12.26,Neutral
Word,15.89,Neutral
Word,13.60,Neutral
Word,14.33,Neutral
Word,12.72,Neutral
Word,10.78,Neutral
Word,11.60,Fun
Word,11.45,Fun
Word,11.06,Neutral
Word,13.41,Neutral
Word,9.61,Fun
Word,13.73,Neutral
Word,13.73,Neutral
Word,9.60,Fun
Word,13.28,Neutral
Word,16.86,Neutral
Word,10.89,Neutral
Word,13.69,Neutral
Word,10.44,Fun
Word,14.22,Neutral
Word,12.50,Neutral
Word,15.30,Neutral
Word,9.08,Fun
Word,11.90,Neutral
Word,10.95,Fun
Word,11.61,Fun
Word,10.74,Fun
Word,10.33,Fun
Word,13.16,Neutral
Word,9.82,Fun
Word,14.97,Neutral
Word,9.63,Fun
Word,12.20,Neutral
Word,13.07,Neutral
Word,13.17,Neutral
Word,11.40,Neutral
Word,12.16,Fun
Word,13.92,Neutral
Word,9.09,Fun
Word,10.44,Fun
Word,12.64,Frustrating
Word,11.11,Neutral
Word,14.74,Neutral
Word,13.35,Neutral
Word,12.14,Neutral
Word,8.98,Neutral
Word,12.05,Neutral
Word,11.37,Fun
Word,11.80,Neutral
Word,9.64,Fun
Word,13.00,Neutral
Word,9.92,Fun
Word,11.55,Fun
Word,12.76,Fun
Word,10.43,Fun
Word,13.17,Neutral
Word,9.37,Fun
Word,6.38,Fun
Word,12.93,Neutral
Word,13.68,Neutral
Word,11.43,Neutral
Word,13.01,Neutral
Word,9.69,Fun
Word,11.75,Neutral
Word,8.12,Fun
Word,14.36,Frustrating
Word,15.72,Fun
Word,14.15,Neutral
Word,11.95,Fun
Word,11.93,Neutral
Word,8.97,Fun
Word,13.58,Neutral
Word,11.58,Fun
Word,10.69,Neutral
Word,9.18,Fun
Word,11.40,Neutral
Word,10.30,Fun
Word,11.21,Neutral
Word,9.56,Fun
Word,15.38,Frustrating
Word,11.97,Neutral
Word,14.15,Neutral
Word,6.80,Fun
Word,11.09,Neutral
Word,10.65,Fun
Word,9.55,Neutral
Word,15.09,Neutral
Word,9.17,Fun
Word,12.64,Neutral
Word,13.69,Neutral
Word,12.36,Neutral
Word,10.25,Fun
Word,13.88,Neutral
Word,12.34,Neutral
Word,9.87,Neutral
Word,9.22,Fun
Word,16.17,Neutral
Word,10.64,Fun
Word,8.29,Fun
Word,13.07,Frustrating
Word,12.62,Neutral
Word,9.29,Fun
Word,8.11,Fun
Word,11.77,Neutral
Word,14.28,Neutral
Word,13.27,Fun
Word,11.01,Fun
Word,10.33,Neutral
Word,12.54,Neutral
Word,12.31,Fun
Word,13.26,Neutral
Word,11.21,Neutral
Word,13.80,Neutral
Word,10.34,Fun
Word,11.34,Neutral
Word,13.48,Neutral
Word,13.98,Neutral
Word,8.12,Fun
Word,12.21,Neutral
Word,13.22,Neutral
Word,9.10,Fun
Word,12.96,Neutral
Word,10.34,Fun
Word,14.04,Neutral
Word,13.08,Fun
Word,13.54,Neutral
Word,12.24,Neutral
Word,13.73,Neutral
Word,14.76,Frustrating
Word,15.93,Frustrating
Word,11.94,Neutral
Word,7.50,Fun
Word,12.06,Neutral
Word,12.41,Neutral
Word,11.69,Fun
Word,13.14,Fun
Word,14.02,Neutral
Word,10.96,Neutral
Word,11.41,Fun
Word,12.80,Neutral
Word,10.90,Neutral
Word,12.18,Neutral
Word,8.08,Fun
Word,9.76,Fun
Word,9.34,Neutral
Word,10.29,Fun
Word,10.61,Fun
Word,12.76,Neutral
Word,13.96,Neutral
Word,10.55,Fun
Word,10.01,Neutral
Word,9.92,Fun
Word,11.17,Fun
Word,11.52,Neutral
Word,12.97,Fun
Word,11.36,Neutral
Word,7.84,Fun
Word,11.82,Neutral
Word,14.37,Neutral
Word,14.38,Neutral
Word,10.42,Fun
Word,8.90,Fun
Word,16.92,Frustrating
Word,11.68,Fun
Word,11.81,Neutral
Word,12.84,Neutral
Word,8.77,Neutral
Word,10.54,Fun
Word,8.92,Neutral
Word,10.61,Fun
Word,12.24,Neutral
Word,9.27,Neutral
Word,13.18,Neutral
Word,12.58,Neutral
Word,10.19,Neutral
Word,12.45,Neutral
Word,13.50,Neutral
Word,14.12,Neutral
Word,11.57,Fun
Word,11.81,Neutral
Word,11.83,Neutral
Word,14.88,Neutral
Word,14.25,Neutral
Word,13.67,Fun
Word,11.43,Frustrating
Word,12.75,Neutral
Word,12.81,Neutral
Word,9.92,Fun
Word,8.54,Fun
Word,13.28,Fun
Word,8.94,Fun
Word,12.00,Neutral
Word,12.50,Neutral
Word,13.13,Frustrating
Word,12.38,Fun
Word,10.53,Neutral
Word,13.97,Neutral
Word,15.48,Frustrating
Word,13.76,Neutral
Word,8.11,Fun
Word,14.80,Frustrating
Word,11.89,Fun
Word,13.05,Fun
Word,13.24,Neutral
Word,11.81,Neutral
Word,11.85,Neutral
Word,14.04,Neutral
Word,13.42,Neutral
Word,13.98,Neutral
Word,16.77,Neutral
Word,13.33,Neutral
Word,12.41,Fun
Word,7.58,Fun
Word,17.38,Frustrating
Word,11.03,Neutral
Word,16.75,Neutral
Word,12.75,Neutral
Word,15.08,Neutral
Word,11.78,Neutral
Word,13.02,Neutral
Word,12.43,Neutral
Word,11.63,Fun
Word,11.76,Neutral
Word,14.03,Neutral
Word,11.60,Fun
Word,7.92,Fun
Word,11.61,Fun
Word,13.08,Neutral
Word,13.23,Neutral
Word,13.23,Fun
Word,8.62,Fun
Word,12.74,Neutral
Word,13.94,Neutral
Word,14.55,Frustrating
Word,11.55,Neutral
Word,11.36,Fun
Word,14.98,Frustrating
Word,8.66,Fun
Word,11.13,Neutral
Word,12.91,Neutral
Word,8.76,Fun
Word,12.56,Neutral
Word,15.76,Frustrating
Word,11.99,Neutral
Word,11.44,Neutral
Word,12.95,Neutral
Word,11.44,Frustrating
Word,13.63,Neutral
Word,13.81,Neutral
Word,12.01,Neutral
Word,9.65,Neutral
Word,9.36,Fun
Word,10.81,Fun
Word,13.59,Neutral
Word,8.08,Fun
Word,8.23,Fun
Word,10.69,Fun
Word,12.79,Neutral
Word,10.17,Fun
Word,13.77,Neutral
Word,12.67,Neutral
Word,11.66,Neutral
Word,13.64,Frustrating
Word,12.78,Neutral
Word,11.11,Neutral
Word,12.46,Neutral
Word,13.30,Neutral
Word,12.71,Neutral
Word,10.68,Neutral
Word,13.71,Neutral
Word,14.31,Neutral
Word,12.55,Neutral
Word,12.29,Fun
Word,11.85,Fun
Word,16.32,Frustrating
Word,12.55,Neutral
Word,11.68,Neutral
Word,6.98,Fun
Word,8.87,Fun
Word,11.84,Fun
Word,12.41,Neutral
Word,12.55,Fun
Word,13.64,Fun
Word,11.61,Fun
Word,14.43,Neutral
Word,10.16,Fun
Word,9.58,Fun
Word,9.54,Neutral
Word,13.48,Neutral
Word,11.83,Neutral
Word,13.58,Neutral
Word,11.46,Neutral
Word,10.82,Neutral
Word,11.26,Neutral
Word,8.29,Fun
Word,9.66,Neutral
Word,9.12,Neutral
Word,14.11,Neutral
Word,10.81,Neutral
Word,13.58,Neutral
Word,15.03,Neutral
Word,11.62,Neutral
Word,12.57,Neutral
Word,8.50,Fun
Word,10.36,Fun
Word,12.11,Fun
Word,12.60,Neutral
Word,10.48,Fun
Word,17.37,Frustrating
Word,11.08,Fun
Word,12.13,Neutral
Word,13.30,Neutral
Word,11.95,Neutral
Word,10.71,Fun
Word,14.09,Neutral
Word,15.23,Frustrating
Word,11.94,Fun
Word,13.12,Fun
Word,11.81,Neutral
Word,14.03,Neutral
Word,9.69,Neutral
Word,16.64,Frustrating
Word,10.79,Neutral
Word,9.08,Fun
Word,11.30,Fun
Word,12.29,Fun
Word,15.25,Neutral
Word,13.82,Neutral
Word,12.28,Neutral
Word,9.22,Neutral
Word,10.27,Fun
Word,11.67,Fun
Word,17.11,Neutral
Word,8.28,Fun
Word,14.26,Fun
Word,10.95,Neutral
Word,15.33,Neutral
Word,9.72,Neutral
Word,12.29,Fun
Word,9.80,Fun
Word,13.81,Neutral
Word,14.97,Neutral
Word,15.90,Neutral
Word,13.60,Fun
Word,15.69,Neutral
Word,14.49,Neutral
Word,11.74,Fun
Word,12.95,Neutral
Word,10.06,Fun
Word,11.63,Neutral
Word,14.44,Neutral
Word,13.08,Neutral
Word,12.91,Fun
Word,9.92,Fun
Word,10.79,Fun
Word,10.47,Fun
Word,12.79,Neutral
Word,10.02,Fun
Word,13.12,Neutral
Word,9.77,Fun
Word,15.66,Neutral
Word,12.92,Fun
Word,10.60,Fun
Word,12.48,Neutral
Word,11.30,Neutral
Word,12.74,Neutral
Word,12.49,Neutral
Word,9.97,Neutral
Word,10.42,Fun
Word,12.60,Neutral
Word,15.28,Neutral
Word,14.17,Neutral
Word,10.75,Fun
Word,13.65,Fun
Word,11.90,Neutral
Word,12.60,Fun
Word,12.52,Neutral
Word,17.15,Neutral
Word,9.63,Fun
Word,12.20,Neutral
Word,8.44,Fun
Word,13.18,Frustrating
Word,14.19,Neutral
Word,14.89,Neutral
Word,8.15,Fun
Word,12.83,Fun
Word,15.19,Neutral
Word,11.17,Neutral
Word,11.58,Neutral
Word,11.93,Neutral
Word,12.73,Neutral
Word,13.33,Neutral
Word,14.64,Neutral
Word,11.81,Neutral
Word,12.39,Neutral
Word,16.98,Neutral
Word,12.86,Neutral
Word,12.38,Neutral
Word,9.32,Neutral
Word,12.01,Fun
Word,11.56,Fun
Word,11.98,Neutral
Word,10.85,Neutral
Word,10.63,Fun
Word,10.56,Fun
Word,11.57,Fun
Word,14.74,Neutral
Word,14.10,Neutral
Word,11.28,Neutral
Word,8.63,Neutral
Word,10.31,Fun
Word,11.08,Neutral
Word,12.21,Neutral
Word,10.67,Fun
Word,16.01,Neutral
Word,11.46,Neutral
Word,9.57,Fun
Word,11.72,Neutral
Word,9.99,Fun
Word,12.31,Fun
Word,12.47,Fun
Word,12.71,Neutral
Word,8.76,Fun
Word,12.44,Neutral
Word,12.62,Neutral
Word,9.16,Fun
Word,13.91,Neutral
Word,13.57,Neutral
Word,16.60,Neutral
Word,12.31,Neutral
Word,12.09,Frustrating
Word,12.19,Neutral
Word,12.14,Neutral
Word,8.30,Fun
Word,8.66,Fun
Word,11.84,Neutral
Word,10.84,Fun
Word,12.11,Neutral
Word,7.78,Fun
Word,9.00,Fun
Word,9.80,Fun
Word,13.97,Neutral
Word,9.80,Fun
Word,10.40,Neutral
Word,12.16,Neutral
Word,11.35,Fun
Word,12.29,Fun
Word,16.61,Neutral
Word,9.75,Fun
Word,11.39,Neutral
Word,10.97,Neutral
Word,15.02,Neutral
Word,10.46,Fun
Word,11.84,Neutral
Word,13.57,Fun
Word,9.88,Fun
Word,15.31,Neutral
Word,13.35,Neutral
Word,9.85,Neutral
Word,12.91,Neutral
Word,11.57,Neutral
Word,12.63,Neutral
Word,11.82,Neutral
Word,14.14,Neutral
Word,9.30,Fun
Word,10.95,Neutral
Word,11.50,Neutral
Word,10.01,Neutral
Word,9.92,Fun
Word,11.96,Fun
Word,11.74,Fun
Word,6.90,Fun
Word,14.08,Neutral
Word,12.50,Neutral
Word,16.83,Neutral
Word,13.37,Neutral
Word,11.11,Fun
Word,17.59,Frustrating
Word,17.66,Frustrating
Word,9.56,Fun
Word,12.94,Neutral
Word,11.58,Fun
Word,12.37,Neutral
Word,12.46,Neutral
Word,9.48,Fun
Word,12.57,Neutral
Word,15.50,Neutral
Word,11.67,Neutral
Word,11.67,Neutral
Word,14.80,Fun
Word,13.80,Neutral
Word,8.70,Fun
Word,12.46,Neutral
Word,15.31,Frustrating
Word,14.83,Neutral
Word,12.84,Neutral
Word,13.44,Neutral
Word,9.61,Neutral
Word,12.60,Neutral
Word,10.09,Fun
Word,11.08,Neutral
Word,13.87,Neutral
Word,9.73,Fun
Word,12.53,Fun
Word,12.86,Fun
Word,12.11,Fun
Word,15.64,Neutral
Word,9.96,Fun
Word,13.21,Neutral
Word,11.82,Neutral
Word,11.48,Neutral
Word,12.93,Neutral
Word,9.96,Fun
Word,9.37,Fun
Word,11.01,Neutral
Word,15.50,Frustrating
Word,12.11,Neutral
Word,12.66,Fun
Word,11.62,Fun
Word,12.94,Neutral
Word,10.10,Fun
Word,14.32,Fun
Word,13.17,Neutral
Word,10.39,Neutral
Word,12.11,Neutral
Word,13.43,Fun
Word,13.12,Neutral
Word,14.96,Neutral
Word,10.77,Neutral
Word,14.23,Neutral
Word,14.07,Neutral
Word,11.68,Fun
Word,10.05,Neutral
Word,9.82,Fun
Word,12.92,Neutral
Word,11.86,Neutral
Word,15.56,Neutral
Word,13.07,Neutral
Word,11.26,Neutral
Word,9.95,Fun
Word,10.84,Neutral
Word,12.69,Neutral
Word,11.10,Fun
Word,13.03,Neutral
Word,11.33,Neutral
Word,11.79,Neutral
Word,10.54,Neutral
Word,15.81,Neutral
Word,12.67,Neutral
Word,12.46,Frustrating
Word,8.62,Fun
Word,13.32,Neutral
Word,9.95,Neutral
Word,10.22,Neutral
Word,13.84,Neutral
Word,11.09,Neutral
Word,8.50,Fun
Word,15.54,Neutral
Word,7.25,Fun
Word,13.15,Fun
Word,14.03,Frustrating
Word,10.74,Fun
Word,12.89,Neutral
Word,12.88,Fun
Word,14.08,Neutral
Word,12.97,Neutral
Word,11.51,Neutral
Word,13.83,Neutral
Word,13.60,Neutral
Word,10.13,Neutral
Word,9.20,Neutral
Word,12.32,Fun
Word,11.45,Fun
Word,10.03,Fun
Word,12.17,Neutral
Word,9.36,Fun
Word,12.32,Neutral
Word,10.75,Neutral
Word,13.91,Neutral
Word,16.85,Neutral
Word,10.17,Neutral
Word,14.12,Neutral
Word,13.65,Fun
Word,11.86,Neutral
Word,11.09,Fun
Word,15.15,Neutral
Word,7.99,Fun
Word,10.71,Fun
Word,9.13,Fun
Word,14.79,Neutral
Word,11.62,Neutral
Word,10.95,Fun
Word,18.37,Neutral
Word,11.90,Fun
Word,11.11,Neutral
Word,12.60,Neutral
Word,8.86,Neutral
Word,12.98,Neutral
Word,11.81,Neutral
Word,12.94,Neutral
Word,10.04,Neutral
Word,9.95,Fun
Word,10.61,Neutral
Word,10.46,Neutral
Word,14.60,Neutral
Word,15.16,Neutral
Word,11.69,Neutral
Word,11.28,Neutral
Word,11.34,Fun
Word,12.14,Neutral
Word,12.19,Neutral
Word,12.58,Neutral
Word,10.51,Neutral
Word,10.31,Neutral
Word,14.39,Neutral
Word,10.90,Fun
Word,12.61,Neutral
Word,11.89,Neutral
Word,10.08,Fun
Word,13.18,Neutral
Word,12.35,Neutral
Word,14.80,Neutral
Word,12.23,Neutral
Word,11.34,Fun
Word,12.56,Neutral
Word,9.63,Fun
Word,10.33,Neutral
Word,13.02,Neutral
Word,11.33,Neutral
Word,11.87,Neutral
Word,11.77,Fun
Word,10.70,Fun
Word,7.96,Fun
Word,12.70,Fun
Word,13.52,Neutral
Word,9.42,Fun
Word,14.96,Neutral
Word,12.77,Fun
Word,14.68,Neutral
Word,10.09,Fun
Word,12.33,Neutral
Word,11.80,Fun
Word,13.54,Neutral
Word,10.85,Neutral
Word,11.98,Fun
Word,8.44,Fun
Word,10.44,Neutral
Word,12.25,Fun
Word,10.59,Neutral
Word,11.91,Fun
Word,11.06,Fun
Word,13.21,Neutral
Word,14.34,Neutral
Word,10.35,Fun
Word,11.39,Neutral
Word,14.88,Frustrating
Word,7.60,Fun
Word,11.36,Fun
Word,16.13,Neutral
Word,16.39,Neutral
